pedido_id,data,canal,categoria,valor_brl,entrega_dias,satisfacao
P001,2026-04-01,Orgânico,Livros,70,,4.2
P002,2026-04-01,Pago,Casa,177,9.0,1.9
P003,2026-04-02,Orgânico,Tecnologia,104,8.0,1.9
P004,2026-04-02,Pago,Livros,211,7.0,3.0
P005,2026-04-03,Orgânico,Casa,138,6.0,3.0
P006,2026-04-03,Pago,Tecnologia,245,5.0,3.0
P007,2026-04-04,Orgânico,Livros,82,4.0,4.0
P008,2026-04-04,Pago,Casa,189,3.0,4.0
P009,2026-04-05,Orgânico,Tecnologia,116,2.0,5.0
P010,2026-04-05,Pago,Livros,223,9.0,1.7
P011,2026-04-06,Orgânico,Casa,150,,1.7
P012,2026-04-06,Pago,Tecnologia,167,7.0,2.8
P013,2026-04-07,Orgânico,Livros,94,6.0,2.8
P014,2026-04-07,Pago,Casa,201,5.0,3.8
P015,2026-04-08,Orgânico,Tecnologia,128,4.0,3.8
P016,2026-04-08,Pago,Livros,235,3.0,3.8
P017,2026-04-09,Orgânico,Casa,72,2.0,4.9
P018,2026-04-09,Pago,Tecnologia,179,9.0,1.5
P019,2026-04-10,Orgânico,Livros,106,8.0,2.6
P020,2026-04-10,Pago,Casa,213,7.0,2.6
P021,2026-04-11,Orgânico,Tecnologia,140,,2.5
P022,2026-04-11,Pago,Livros,247,5.0,3.6
P023,2026-04-12,Orgânico,Casa,84,4.0,3.6
P024,2026-04-12,Pago,Tecnologia,191,3.0,4.7
P025,2026-04-13,Orgânico,Livros,118,2.0,4.7
P026,2026-04-13,Pago,Casa,225,9.0,1.3
P027,2026-04-14,Orgânico,Tecnologia,152,8.0,2.4
P028,2026-04-14,Pago,Livros,169,7.0,2.3
P029,2026-04-15,Orgânico,Casa,96,6.0,3.4
P030,2026-04-15,Pago,Tecnologia,203,5.0,3.4
P031,2026-04-16,Orgânico,Livros,130,,3.4
P032,2026-04-16,Pago,Casa,237,3.0,4.5
P033,2026-04-17,Orgânico,Tecnologia,74,2.0,4.4
P034,2026-04-17,Pago,Livros,181,9.0,2.2
P035,2026-04-18,Orgânico,Casa,108,8.0,2.1
P036,2026-04-18,Pago,Tecnologia,215,7.0,2.1
P037,2026-04-19,Orgânico,Livros,142,6.0,3.2
P038,2026-04-19,Pago,Casa,249,5.0,3.2
P039,2026-04-20,Orgânico,Tecnologia,86,4.0,4.3
P040,2026-04-20,Pago,Livros,193,3.0,4.2
P041,2026-04-21,Orgânico,Casa,120,,4.2
P042,2026-04-21,Pago,Tecnologia,227,9.0,1.9
P043,2026-04-22,Orgânico,Livros,154,8.0,1.9
P044,2026-04-22,Pago,Casa,171,7.0,3.0
P045,2026-04-23,Orgânico,Tecnologia,98,6.0,3.0
P046,2026-04-23,Pago,Livros,205,5.0,3.0
P047,2026-04-24,Orgânico,Casa,132,4.0,4.0
P048,2026-04-24,Pago,Tecnologia,2400,3.0,4.0
P049,2026-04-25,Orgânico,Livros,76,2.0,5.0
P050,2026-04-25,Pago,Casa,183,9.0,1.7
P051,2026-04-26,Orgânico,Tecnologia,110,,1.7
P052,2026-04-26,Pago,Livros,217,7.0,2.8
P053,2026-04-27,Orgânico,Casa,144,6.0,2.8
P054,2026-04-27,Pago,Tecnologia,161,5.0,3.8
P055,2026-04-28,Orgânico,Livros,88,4.0,3.8
P056,2026-04-28,Pago,Casa,195,3.0,3.8
P057,2026-04-29,Orgânico,Tecnologia,122,2.0,4.9
P058,2026-04-29,Pago,Livros,229,9.0,1.5
P059,2026-04-30,Orgânico,Casa,156,8.0,2.6
P060,2026-04-30,Pago,Tecnologia,173,7.0,2.6
P061,2026-04-30,Pago,Casa,-40,4.0,4.0
P012,2026-04-06,Pago,Tecnologia,167,7.0,2.8
